Imidacloprid,Food,Copper,Condition2,Tr,Condition,copper_concentration,imidacloprid_concentration,food_amount,Row Labels,OK,Deformed,Total larvae,Proportion_deformed,Beaker_DO,Beaker_EC,Beaker_pH,prop_trans,nested_concentration,Visible_menta,Deformed_menta,OK_Menta,Freq_menta,Visible_Mandibles,Deformed_mandibles,OK_Mandibles,Freq_mandibles,Visible_antennae,Deformed_antennae,OK_Antennae,Freq_antennae
YES,YES,YES,Control,C,Control,0,0,1600,18,9,0,9,0,90.26,209.1,6.84,0,0,10,0,10,0,10,0,10,0,9,0,9,0
YES,YES,YES,Control,C,Control,0,0,1600,19,7,1,8,0.125,88.57,174.1,6.77,0.361367124,0,10,0,10,0,8,0,8,0,9,1,8,0.111111111
YES,YES,YES,Control,C,Control,0,0,1600,2,9,0,9,0,90.69,192.5,7.23,0,0,9,0,9,0,9,0,9,0,9,0,9,0
NO,NO,YES,Non_control,T1,Copper,0.05,0,1600,5,7,2,9,0.222222222,92.34,176.1,7.06,0.490882678,0.05,10,0,10,0,9,0,9,0,10,2,8,0.2
NO,NO,YES,Non_control,T1,Copper,0.05,0,1600,10,6,0,6,0,94.16,202.4,6.89,0,0.05,8,0,8,0,8,0,8,0,7,0,7,0
NO,NO,YES,Non_control,T1,Copper,0.05,0,1600,14,8,0,8,0,95.42,174.3,6.87,0,0.05,8,0,8,0,8,0,8,0,8,0,8,0
NO,NO,YES,Non_control,T2,Copper,0.08,0,1600,11,7,2,9,0.222222222,94.69,171.9,6.89,0.490882678,0.08,9,2,7,0.222222222,9,0,9,0,9,0,9,0
NO,NO,YES,Non_control,T2,Copper,0.08,0,1600,12,7,2,9,0.222222222,91.56,172.9,6.86,0.490882678,0.08,9,1,8,0.111111111,10,0,10,0,9,1,8,0.111111111
NO,NO,YES,Non_control,T2,Copper,0.08,0,1600,17,7,1,8,0.125,88.79,175.1,6.76,0.361367124,0.08,9,1,8,0.111111111,9,0,9,0,9,0,9,0
NO,NO,YES,Non_control,T3,Copper,0.13,0,1600,2,8,0,8,0,93.71,170.2,7.59,0,0.13,9,0,9,0,9,0,9,0,10,0,10,0
NO,NO,YES,Non_control,T3,Copper,0.13,0,1600,3,10,0,10,0,92.69,166.7,7.36,0,0.13,10,0,10,0,10,0,10,0,10,0,10,0
NO,NO,YES,Non_control,T3,Copper,0.13,0,1600,13,3,3,6,0.5,91.87,172.9,6.86,0.785398163,0.13,9,0,9,0,9,1,8,0.111111111,6,2,4,0.333333333
NO,NO,YES,Non_control,T4,Copper,0.22,0,1600,4,9,0,9,0,93.33,168.9,7.24,0,0.22,10,0,10,0,9,0,9,0,10,0,10,0
NO,NO,YES,Non_control,T4,Copper,0.22,0,1600,7,9,0,9,0,94.97,167.4,6.95,0,0.22,10,0,10,0,9,0,9,0,10,0,10,0
NO,NO,YES,Non_control,T4,Copper,0.22,0,1600,9,8,0,8,0,97.73,179.2,6.9,0,0.22,10,0,10,0,9,0,9,0,9,0,9,0
NO,NO,YES,Non_control,T5,Copper,0.36,0,1600,6,4,0,4,0,96.95,171.1,7.04,0,0.36,5,0,5,0,5,0,5,0,4,0,4,0
NO,NO,YES,Non_control,T5,Copper,0.36,0,1600,8,9,0,9,0,97.29,167.4,6.95,0,0.36,8,0,8,0,8,0,8,0,8,0,8,0
NO,NO,YES,Non_control,T5,Copper,0.36,0,1600,15,9,0,9,0,94.72,172.5,6.88,0,0.36,9,0,9,0,9,0,9,0,9,0,9,0
NO,YES,NO,Non_control,T1,Food limitation,0,0,186,7,8,0,8,0,98.96,182.3,7.14,0,186,9,0,9,0,8,0,8,0,9,0,9,0
NO,YES,NO,Non_control,T1,Food limitation,0,0,186,10,10,0,10,0,96.56,180.8,7.02,0,186,10,0,10,0,10,0,10,0,10,0,10,0
NO,YES,NO,Non_control,T1,Food limitation,0,0,186,11,10,0,10,0,95.06,190.2,7,0,186,10,0,10,0,10,0,10,0,10,0,10,0
NO,YES,NO,Non_control,T2,Food limitation,0,0,286,3,9,1,10,0.1,96.79,190.3,7.48,0.321750554,286,10,0,10,0,10,1,9,0.1,10,0,10,0
NO,YES,NO,Non_control,T2,Food limitation,0,0,286,8,10,0,10,0,98.67,189.9,7.07,0,286,10,0,10,0,10,0,10,0,10,0,10,0
NO,YES,NO,Non_control,T2,Food limitation,0,0,286,9,9,1,10,0.1,97.75,187.1,7.07,0.321750554,286,10,1,9,0.1,10,0,10,0,10,0,10,0
NO,YES,NO,Non_control,T3,Food limitation,0,0,440,1,10,0,10,0,98.89,197,7.94,0,440,10,0,10,0,10,0,10,0,10,0,10,0
NO,YES,NO,Non_control,T3,Food limitation,0,0,440,12,8,0,8,0,91.68,208,6.95,0,440,6,0,6,0,8,0,8,0,8,0,8,0
NO,YES,NO,Non_control,T3,Food limitation,0,0,440,15,8,1,9,0.111111111,96.55,186.3,6.96,0.339836909,440,10,0,10,0,10,1,9,0.1,9,0,9,0
NO,YES,NO,Non_control,T4,Food limitation,0,0,676,5,8,1,9,0.111111111,98.41,187.9,7.23,0.339836909,676,10,0,10,0,9,0,9,0,10,1,9,0.1
NO,YES,NO,Non_control,T4,Food limitation,0,0,676,13,9,0,9,0,95.9,214.3,6.93,0,676,9,0,9,0,9,0,9,0,9,0,9,0
NO,YES,NO,Non_control,T4,Food limitation,0,0,676,16,10,0,10,0,89.64,209.7,6.92,0,676,9,0,9,0,9,0,9,0,9,0,9,0
NO,YES,NO,Non_control,T5,Food limitation,0,0,1040,2,8,2,10,0.2,86.77,198.2,7.62,0.463647609,1040,10,1,9,0.1,10,1,9,0.1,10,1,9,0.1
NO,YES,NO,Non_control,T5,Food limitation,0,0,1040,14,7,3,10,0.3,95.13,196.4,6.9,0.57963974,1040,10,0,10,0,10,2,8,0.2,10,1,9,0.1
NO,YES,NO,Non_control,T5,Food limitation,0,0,1040,17,7,2,9,0.222222222,96.07,185.9,6.88,0.490882678,1040,9,2,7,0.222222222,10,0,10,0,9,0,9,0
YES,NO,NO,Non_control,T1,Imidacloprid,0,0.2,1600,1,8,0,8,0,91.38,192.2,7.78,0,0.2,9,0,9,0,9,0,9,0,9,0,9,0
YES,NO,NO,Non_control,T1,Imidacloprid,0,0.2,1600,15,6,2,8,0.25,93.37,184.5,6.71,0.523598776,0.2,10,0,10,0,9,2,7,0.222222222,10,0,10,0
YES,NO,NO,Non_control,T1,Imidacloprid,0,0.2,1600,18,7,1,8,0.125,88.09,175.2,6.76,0.361367124,0.2,9,0,9,0,8,0,8,0,9,1,8,0.111111111
YES,NO,NO,Non_control,T2,Imidacloprid,0,0.3,1600,3,8,2,10,0.2,92.96,185,7.1,0.463647609,0.3,10,1,9,0.1,10,0,10,0,10,1,9,0.1
YES,NO,NO,Non_control,T2,Imidacloprid,0,0.3,1600,9,6,4,10,0.4,94.97,186.8,6.85,0.684719203,0.3,10,4,6,0.4,9,0,9,0,9,0,9,0
YES,NO,NO,Non_control,T2,Imidacloprid,0,0.3,1600,19,6,3,9,0.333333333,85.22,171.7,6.71,0.615479709,0.3,8,1,7,0.125,10,1,9,0.1,10,1,9,0.1
YES,NO,NO,Non_control,T3,Imidacloprid,0,0.49,1600,4,8,1,9,0.111111111,91.66,182.9,7.03,0.339836909,0.49,10,0,10,0,10,0,10,0,10,1,9,0.1
YES,NO,NO,Non_control,T3,Imidacloprid,0,0.49,1600,8,8,1,9,0.111111111,91.72,188.4,6.84,0.339836909,0.49,10,0,10,0,10,1,9,0.1,9,0,9,0
YES,NO,NO,Non_control,T3,Imidacloprid,0,0.49,1600,16,10,0,10,0,85.23,188.2,6.69,0,0.49,10,0,10,0,10,0,10,0,10,0,10,0
YES,NO,NO,Non_control,T4,Imidacloprid,0,0.79,1600,7,8,2,10,0.2,90.1,188.1,6.83,0.463647609,0.79,10,1,9,0.1,10,0,10,0,10,1,9,0.1
YES,NO,NO,Non_control,T4,Imidacloprid,0,0.79,1600,10,9,1,10,0.1,71.4,203,6.79,0.321750554,0.79,10,0,10,0,10,1,9,0.1,10,0,10,0
YES,NO,NO,Non_control,T4,Imidacloprid,0,0.79,1600,17,8,1,9,0.111111111,91.13,184.9,6.67,0.339836909,0.79,9,1,8,0.111111111,10,0,10,0,10,0,10,0
YES,NO,NO,Non_control,T5,Imidacloprid,0,1.35,1600,11,10,0,10,0,90.1,187.7,6.73,0,1.35,10,0,10,0,10,0,10,0,10,0,10,0
YES,NO,NO,Non_control,T5,Imidacloprid,0,1.35,1600,12,9,1,10,0.1,88.2,190,6.75,0.321750554,1.35,10,1,9,0.1,10,0,10,0,10,0,10,0
YES,NO,NO,Non_control,T5,Imidacloprid,0,1.35,1600,14,5,2,7,0.285714286,86.25,186.8,6.61,0.563942641,1.35,8,1,7,0.125,7,0,7,0,8,0,8,0
